State,Population,Threshold
Alabama,"4,903,185",7354778
Alaska,"731,545",1097318
Arizona,"7,278,717",10918076
Arkansas,"3,017,804",4526706
California,"39,512,223",59268335
Colorado,"5,758,736",8638104
Connecticut,"3,565,287",5347931
Delaware,"973,764",1460646
District of Columbia,"705,749",1058624
Florida,"21,477,737",32216606
Georgia,"10,617,423",15926135
Hawaii,"1,415,872",2123808
Idaho,"1,787,065",2680598
Illinois,"12,671,821",19007732
Indiana,"6,732,219",10098329
Iowa,"3,155,070",4732605
Kansas,"2,913,314",4369971
Kentucky,"4,467,673",6701510
Louisiana,"4,648,794",6973191
Maine,"1,344,212",2016318
Maryland,"6,045,680",9068520
Massachusetts,"6,892,503",10338755
Michigan,"9,986,857",14980286
Minnesota,"5,639,632",8459448
Mississippi,"2,976,149",4464224
Missouri,"6,137,428",9206142
Montana,"1,068,778",1603167
Nebraska,"1,934,408",2901612
Nevada,"3,080,156",4620234
New Hampshire,"1,359,711",2039567
New Jersey,"8,882,190",13323285
New Mexico,"2,096,829",3145244
New York,"19,453,561",29180342
North Carolina,"10,488,084",15732126
North Dakota,"762,062",1143093
Ohio,"11,689,100",17533650
Oklahoma,"3,956,971",5935457
Oregon,"4,217,737",6326606
Pennsylvania,"12,801,989",19202984
Rhode Island,"1,059,361",1589042
South Carolina,"5,148,714",7723071
South Dakota,"884,659",1326989
Tennessee,"6,829,174",10243761
Texas,"28,995,881",43493822
Utah,"3,205,958",4808937
Vermont,"623,989",935984
Virginia,"8,535,519",12803279
Washington,"7,614,893",11422340
West Virginia,"1,792,147",2688221
Wisconsin,"5,822,434",8733651
Wyoming,"578,759",868139